Performing system checks...

System check identified no issues (0 silenced).
March 11, 2022 - 17:10:48
Django version 2.1.15, using settings 'sopds.settings'
Starting development server at http://0.0.0.0:8001/
Quit the server with CONTROL-C.
[11/Mar/2022 17:11:02] "GET /web/catalog/ HTTP/1.1" 302 0
[11/Mar/2022 17:11:02] "GET /web/login/?next=/web/catalog/ HTTP/1.1" 200 7374
[11/Mar/2022 17:11:02] "GET /static/foundation-icons/foundation-icons.css HTTP/1.1" 200 19508
[11/Mar/2022 17:11:02] "GET /static/css/sopds.css HTTP/1.1" 200 73303
[11/Mar/2022 17:11:02] "GET /static/js/vendor/foundation.min.js HTTP/1.1" 200 109037
[11/Mar/2022 17:11:02] "GET /static/js/vendor/jquery.js HTTP/1.1" 200 258648
[11/Mar/2022 17:11:02] "GET /static/images/sopds_logo.gif HTTP/1.1" 200 1672
[11/Mar/2022 17:11:02] "GET /static/foundation-icons/foundation-icons.woff HTTP/1.1" 200 32020
[11/Mar/2022 17:11:02] "GET /static/images/favicon.ico HTTP/1.1" 200 932
[11/Mar/2022 17:11:07] "POST /web/login/?next=/web/catalog/ HTTP/1.1" 302 0
[11/Mar/2022 17:11:07] "GET /web/catalog/ HTTP/1.1" 200 7786
[11/Mar/2022 17:11:09] "GET /admin/ HTTP/1.1" 200 4199
[11/Mar/2022 17:11:09] "GET /static/admin/css/base.css HTTP/1.1" 200 16189
[11/Mar/2022 17:11:09] "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
[11/Mar/2022 17:11:09] "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
[11/Mar/2022 17:11:09] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[11/Mar/2022 17:11:09] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
[11/Mar/2022 17:11:09] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 81348
[11/Mar/2022 17:11:09] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 80304
[11/Mar/2022 17:11:09] "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
[11/Mar/2022 17:11:14] "GET /admin/constance/config/ HTTP/1.1" 200 37771
[11/Mar/2022 17:11:14] "GET /static/admin/css/constance.css HTTP/1.1" 200 317
[11/Mar/2022 17:11:14] "GET /static/admin/css/forms.css HTTP/1.1" 200 7765
[11/Mar/2022 17:11:14] "GET /static/admin/css/changelists.css HTTP/1.1" 200 6192
[11/Mar/2022 17:11:14] "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 363
[11/Mar/2022 17:11:14] "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
[11/Mar/2022 17:11:14] "GET /static/admin/js/actions.js HTTP/1.1" 304 0
[11/Mar/2022 17:11:14] "GET /static/admin/js/core.js HTTP/1.1" 304 0
[11/Mar/2022 17:11:14] "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
[11/Mar/2022 17:11:14] "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
[11/Mar/2022 17:11:14] "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
[11/Mar/2022 17:11:14] "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
[11/Mar/2022 17:11:14] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[11/Mar/2022 17:11:14] "GET /static/admin/js/constance.js HTTP/1.1" 200 1160
[11/Mar/2022 17:11:14] "GET /static/admin/css/widgets.css HTTP/1.1" 200 10385
[11/Mar/2022 17:11:14] "GET /static/admin/img/icon-no.svg HTTP/1.1" 200 560
[11/Mar/2022 17:12:36] "POST /admin/constance/config/ HTTP/1.1" 302 0
[11/Mar/2022 17:12:36] "GET /admin/constance/config/ HTTP/1.1" 200 37937
[11/Mar/2022 17:12:36] "GET /static/admin/css/forms.css HTTP/1.1" 304 0
[11/Mar/2022 17:12:36] "GET /static/admin/css/constance.css HTTP/1.1" 304 0
[11/Mar/2022 17:12:36] "GET /static/admin/css/base.css HTTP/1.1" 304 0
[11/Mar/2022 17:12:36] "GET /static/admin/js/constance.js HTTP/1.1" 304 0
[11/Mar/2022 17:12:36] "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
[11/Mar/2022 17:12:36] "GET /admin/jsi18n/ HTTP/1.1" 200 3185
[11/Mar/2022 17:12:36] "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
[11/Mar/2022 17:12:36] "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
[11/Mar/2022 17:13:40] "GET / HTTP/1.1" 302 0
[11/Mar/2022 17:13:40] "GET /web/ HTTP/1.1" 200 8381
[11/Mar/2022 17:13:40] "GET /static/css/sopds.css HTTP/1.1" 304 0
[11/Mar/2022 17:13:40] "GET /static/foundation-icons/foundation-icons.css HTTP/1.1" 304 0
[11/Mar/2022 17:13:40] "GET /static/js/vendor/foundation.min.js HTTP/1.1" 304 0
[11/Mar/2022 17:13:40] "GET /static/js/vendor/jquery.js HTTP/1.1" 304 0
[11/Mar/2022 17:13:40] "GET /static/images/sopds_logo.gif HTTP/1.1" 304 0
[11/Mar/2022 17:13:40] "GET /static/foundation-icons/foundation-icons.woff HTTP/1.1" 304 0
[11/Mar/2022 17:13:40] "GET /static/images/favicon.ico HTTP/1.1" 304 0
[11/Mar/2022 17:14:46] "GET /web/catalog/ HTTP/1.1" 200 7786
[11/Mar/2022 17:38:12] "GET /web/catalog/ HTTP/1.1" 200 16326
[11/Mar/2022 17:38:12] "GET /static/css/sopds.css HTTP/1.1" 200 73303
[11/Mar/2022 17:38:12] "GET /static/foundation-icons/foundation-icons.css HTTP/1.1" 200 19508
[11/Mar/2022 17:38:12] "GET /static/js/vendor/jquery.js HTTP/1.1" 304 0
[11/Mar/2022 17:38:12] "GET /static/js/vendor/foundation.min.js HTTP/1.1" 304 0
[11/Mar/2022 17:38:12] "GET /static/images/text.png HTTP/1.1" 200 16485
[11/Mar/2022 17:38:12] "GET /static/images/folder.png HTTP/1.1" 200 7018
[11/Mar/2022 17:38:12] "GET /static/images/sopds_logo.gif HTTP/1.1" 304 0
[11/Mar/2022 17:38:12] "GET /static/images/favicon.ico HTTP/1.1" 304 0
[11/Mar/2022 17:38:12] "GET /opds/thumb/56097/ HTTP/1.1" 200 2970
[11/Mar/2022 17:38:20] "GET /web/genre/ HTTP/1.1" 200 11870
[11/Mar/2022 17:38:20] "GET /opds/thumb/9150/ HTTP/1.1" 200 2675
[11/Mar/2022 17:38:25] "GET /web/genre/?section=158 HTTP/1.1" 200 9621
[11/Mar/2022 17:38:25] "GET /opds/thumb/20047/ HTTP/1.1" 200 2867
[11/Mar/2022 17:38:28] "GET /web/search/books/?searchtype=g&searchterms=170 HTTP/1.1" 200 145806
[11/Mar/2022 17:38:28] "GET /opds/thumb/31111/ HTTP/1.1" 200 1962
[11/Mar/2022 17:38:28] "GET /opds/thumb/65259/ HTTP/1.1" 200 3242
[11/Mar/2022 17:38:28] "GET /opds/thumb/36888/ HTTP/1.1" 200 3270
[11/Mar/2022 17:38:28] "GET /opds/thumb/34622/ HTTP/1.1" 200 2278
[11/Mar/2022 17:38:28] "GET /opds/thumb/2602/ HTTP/1.1" 200 3694
[11/Mar/2022 17:38:28] "GET /opds/thumb/39919/ HTTP/1.1" 200 3694
[11/Mar/2022 17:38:28] "GET /opds/thumb/36519/ HTTP/1.1" 200 3694
[11/Mar/2022 17:38:28] "GET /opds/thumb/40049/ HTTP/1.1" 200 3694
[11/Mar/2022 17:38:28] "GET /opds/thumb/39921/ HTTP/1.1" 200 3694
[11/Mar/2022 17:38:28] "GET /opds/thumb/31113/ HTTP/1.1" 200 2263
[11/Mar/2022 17:38:28] "GET /opds/thumb/39994/ HTTP/1.1" 200 3694
[11/Mar/2022 17:38:28] "GET /opds/thumb/39920/ HTTP/1.1" 200 3694
[11/Mar/2022 17:38:28] "GET /opds/thumb/42460/ HTTP/1.1" 200 2699
[11/Mar/2022 17:38:29] "GET /opds/thumb/8852/ HTTP/1.1" 200 1549
[11/Mar/2022 17:38:29] "GET /opds/thumb/11215/ HTTP/1.1" 200 2026
[11/Mar/2022 17:38:29] "GET /opds/thumb/38903/ HTTP/1.1" 200 2428
[11/Mar/2022 17:38:29] "GET /opds/thumb/44618/ HTTP/1.1" 200 1222
[11/Mar/2022 17:38:29] "GET /opds/thumb/44617/ HTTP/1.1" 200 1222
[11/Mar/2022 17:38:29] "GET /opds/thumb/44619/ HTTP/1.1" 200 1222
[11/Mar/2022 17:38:29] "GET /opds/thumb/37807/ HTTP/1.1" 200 2682
[11/Mar/2022 17:38:29] "GET /opds/thumb/20133/ HTTP/1.1" 200 2829
[11/Mar/2022 17:38:29] "GET /opds/thumb/57795/ HTTP/1.1" 200 2954
[11/Mar/2022 17:38:29] "GET /opds/thumb/11028/ HTTP/1.1" 200 2488
[11/Mar/2022 17:38:29] "GET /opds/thumb/31661/ HTTP/1.1" 200 2300
[11/Mar/2022 17:38:29] "GET /opds/thumb/8358/ HTTP/1.1" 200 2213
[11/Mar/2022 17:38:29] "GET /opds/thumb/60335/ HTTP/1.1" 200 3694
[11/Mar/2022 17:38:29] "GET /opds/thumb/52695/ HTTP/1.1" 200 3694
[11/Mar/2022 17:38:30] "GET /opds/thumb/9679/ HTTP/1.1" 200 2963
[11/Mar/2022 17:38:30] "GET /opds/thumb/39991/ HTTP/1.1" 200 3694
[11/Mar/2022 17:38:30] "GET /opds/thumb/51987/ HTTP/1.1" 200 3694
[11/Mar/2022 17:38:30] "GET /opds/thumb/7678/ HTTP/1.1" 200 3431
[11/Mar/2022 17:38:30] "GET /opds/thumb/7779/ HTTP/1.1" 200 3694
[11/Mar/2022 17:38:30] "GET /opds/thumb/57797/ HTTP/1.1" 200 2968
[11/Mar/2022 17:38:30] "GET /opds/thumb/41482/ HTTP/1.1" 200 2928
[11/Mar/2022 17:38:30] "GET /opds/thumb/57852/ HTTP/1.1" 200 3112
[11/Mar/2022 17:38:30] "GET /opds/thumb/63290/ HTTP/1.1" 200 4146
[11/Mar/2022 17:38:30] "GET /opds/thumb/16078/ HTTP/1.1" 200 3000
[11/Mar/2022 17:38:30] "GET /opds/thumb/55825/ HTTP/1.1" 200 2721
[11/Mar/2022 17:38:30] "GET /opds/thumb/59800/ HTTP/1.1" 200 3694
[11/Mar/2022 17:38:30] "GET /opds/thumb/58133/ HTTP/1.1" 200 2921
[11/Mar/2022 17:38:30] "GET /opds/thumb/10126/ HTTP/1.1" 200 3036
[11/Mar/2022 17:38:30] "GET /opds/thumb/34298/ HTTP/1.1" 200 3694
[11/Mar/2022 17:38:30] "GET /opds/thumb/16008/ HTTP/1.1" 200 3694
[11/Mar/2022 17:38:30] "GET /opds/thumb/53615/ HTTP/1.1" 200 3694
[11/Mar/2022 17:38:30] "GET /opds/thumb/57783/ HTTP/1.1" 200 2390
[11/Mar/2022 17:38:30] "GET /opds/thumb/57784/ HTTP/1.1" 200 2602
[11/Mar/2022 17:38:30] "GET /opds/thumb/55129/ HTTP/1.1" 200 3157
[11/Mar/2022 17:38:30] "GET /opds/thumb/35669/ HTTP/1.1" 200 2310
[11/Mar/2022 17:38:31] "GET /opds/thumb/39073/ HTTP/1.1" 200 3236
[11/Mar/2022 17:38:31] "GET /opds/thumb/35668/ HTTP/1.1" 200 2138
[11/Mar/2022 17:38:31] "GET /opds/thumb/34018/ HTTP/1.1" 200 3694
[11/Mar/2022 17:38:31] "GET /opds/thumb/42395/ HTTP/1.1" 200 3580
[11/Mar/2022 17:38:31] "GET /opds/thumb/11054/ HTTP/1.1" 200 2362
[11/Mar/2022 17:38:31] "GET /opds/thumb/64344/ HTTP/1.1" 200 3694
[11/Mar/2022 17:38:31] "GET /opds/thumb/36187/ HTTP/1.1" 200 2802
[11/Mar/2022 17:38:31] "GET /opds/thumb/37600/ HTTP/1.1" 200 2591
[11/Mar/2022 17:38:31] "GET /opds/thumb/33514/ HTTP/1.1" 200 2512
[11/Mar/2022 17:38:31] "GET /opds/thumb/16577/ HTTP/1.1" 200 3694
[11/Mar/2022 17:38:31] "GET /opds/thumb/55918/ HTTP/1.1" 200 3553
[11/Mar/2022 17:38:31] "GET /opds/thumb/39917/ HTTP/1.1" 200 3694
[11/Mar/2022 17:38:31] "GET /opds/thumb/46225/ HTTP/1.1" 200 2800
[11/Mar/2022 17:39:12] "GET /web/book/?lang=1 HTTP/1.1" 200 12741
[11/Mar/2022 17:39:12] "GET /opds/thumb/27860/ HTTP/1.1" 200 3694
[11/Mar/2022 17:39:13] "GET /web/catalog/ HTTP/1.1" 200 16457
[11/Mar/2022 17:39:13] "GET /opds/thumb/60407/ HTTP/1.1" 200 2925
[11/Mar/2022 18:02:58] "GET /web/catalog/ HTTP/1.1" 200 16492
[11/Mar/2022 18:02:58] "GET /static/css/sopds.css HTTP/1.1" 304 0
[11/Mar/2022 18:02:58] "GET /static/foundation-icons/foundation-icons.css HTTP/1.1" 304 0
[11/Mar/2022 18:02:58] "GET /static/js/vendor/jquery.js HTTP/1.1" 304 0
[11/Mar/2022 18:02:58] "GET /static/js/vendor/foundation.min.js HTTP/1.1" 304 0
[11/Mar/2022 18:02:58] "GET /static/images/sopds_logo.gif HTTP/1.1" 200 1672
[11/Mar/2022 18:02:58] "GET /static/images/text.png HTTP/1.1" 304 0
